conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1947921032892883054,Wed Jul 23 07:25:39 +0000 2025,0,Dedi Mulyadi Tambah Kuota Satu Rombel 50 Siswa Anggota DPR Sorot Kualitas dan Keadilan https://t.co/UxkSgKdOiM,1947921032892883054,,,in,,0,0,0,https://x.com/undefined/status/1947921032892883054,1578222594,
1947514716068450628,Wed Jul 23 07:20:48 +0000 2025,0,@football_garin Aku bukan pendukungnya Dedi Mulyadi bahkan aku tak suka dengan sikap ria nya dia... . Tapi aku dukung banget kebijakan anti Hedon ini.. Resiko mungkin ada tapi jauh lebih besar manfaatnya...,1947919813906682242,,football_garin,in,,0,0,0,https://x.com/undefined/status/1947919813906682242,1518750651664064512,
1947313212925354460,Wed Jul 23 06:51:29 +0000 2025,0,@AdamVelcro 18/7/2025 bilang tak ada makan gratis. #BerjihadLawanJokowi 14/7/2025 justru ngoceh makan gratis. Nasi goreng sate tahu bakso burayot mie ayam ada. Tanggal 18 (Juli 2025) warga boleh datang ke lapangan untuk makan nonton tertawa sepuasnya (Dedi Mulyadi) https://t.co/BMSg14apdh,1947912434414719081,https://pbs.twimg.com/ext_tw_video_thumb/1947912411224412163/pu/img/K3lYgaFYvGJARR2P.jpg,AdamVelcro,in,,0,0,0,https://x.com/undefined/status/1947912434414719081,1894850870401212416,
1947910114935283778,Wed Jul 23 06:42:16 +0000 2025,0,Tragedi SMK Lingga Kencana &amp; Larangan Study Tour: Reaksi Tegas Dedi Mulyadi https://t.co/AAtly9vll4 via @YouTube,1947910114935283778,,,in,,0,0,0,https://x.com/undefined/status/1947910114935283778,1346423505882030081,
1947906126751891948,Wed Jul 23 06:26:25 +0000 2025,0,Menteri PKP Maruarar Sirait &amp; Gubernur Jabar Dedi Mulyadi luncurkan program Pembiayaan Home di Subang! Solusi lawan rentenir &amp; bank emok lewat akses mikro perumahan yang cepat murah &amp; aman. #MaruararSirait #PembiayaanHome https://t.co/YBh9KWp98S,1947906126751891948,,,in,,0,1,0,https://x.com/undefined/status/1947906126751891948,2911375412,
1947905978474627265,Wed Jul 23 06:25:50 +0000 2025,0,Rumahnya Sempit Tapi Penghuninya Banyak: Dedi Mulyadi Usul Pusat Gulirkan Kredit Rumah Tingkat https://t.co/4mGcRWIa4q,1947905978474627265,,,in,,0,0,0,https://x.com/undefined/status/1947905978474627265,1578222594,
1947903044429222180,Wed Jul 23 06:14:10 +0000 2025,0,Dedi Mulyadi Soroti Demo Tolak Larangan Study Tour: Itu Bukan Belajar Tapi Piknik https://t.co/nXXHoeNdsp,1947903044429222180,,,in,,0,0,0,https://x.com/undefined/status/1947903044429222180,1660556807419604993,
1947902930176380946,Wed Jul 23 06:13:43 +0000 2025,0,Dedi Mulyadi anggap unjuk rasa pelaku wisata justru menguatkan alasan pelarangan study tour. Fokus pendidikan tak boleh bergeser. Selengkapnya baca di bawah ini. #idncitizen #promedia https://t.co/W3jJWaIhXM,1947902930176380946,,,in,,0,0,0,https://x.com/undefined/status/1947902930176380946,1702957163059257344,
1947900699213500554,Wed Jul 23 06:04:55 +0000 2025,1,Penutup Tindakan Sahdan Arya Maulana yang menolak tawaran uang dari Dedi Mulyadi bisa dibilang lebih dari sekadar keputusan pribadi melainkan sebuah pernyataan revolusioner tentang potensi generasi Z untuk mereformasi budaya politik Indonesia. Melalui lensa integritas politik ,1947900713730023678,,hnirankara,in,,0,1,0,https://x.com/undefined/status/1947900713730023678,871058414364876800,
1947617540160799164,Wed Jul 23 05:45:26 +0000 2025,0,@4awsal cdm: ci dedi mulyadi,1947895812278862177,,4awsal,in,,0,0,0,https://x.com/undefined/status/1947895812278862177,1543866162563260416,
