"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1939350476346290390","Sun Jun 29 23:59:43 +0000 2025","0","@KotaNusantara Modernisasi irigasi di era Presiden Prabowo bikin produktivitas sawah makin maksimal","1939473889295507785","","KotaNusantara","in","","0","0","0","https://x.com/undefined/status/1939473889295507785","1687323231634796544",
"1939348805625020604","Sun Jun 29 23:59:34 +0000 2025","0","@KotaNusantara Penghargaan besar buat Presiden Prabowo yang terus berupaya memajukan sektor perumahan rakyat","1939473852003938386","","KotaNusantara","in","","0","0","0","https://x.com/undefined/status/1939473852003938386","1681978995263541248",
"1939350473422905663","Sun Jun 29 23:59:23 +0000 2025","0","@KotaNusantara Makin banyak lahan produktif makin tinggi hasil tanam semua karena perhatian Presiden Prabowo","1939473804012777913","","KotaNusantara","in","","0","0","0","https://x.com/undefined/status/1939473804012777913","1702532674009853952",
"1939141324596543730","Sun Jun 29 23:59:21 +0000 2025","2","@2BasileaTheoph Kalo misalkan yang ngadain ini keluarga contohnya:- keluarga besar bapak Presiden yang terhormat Pak Prabowo yang dimana keluarga besar beliau Djojohadikusumo penganut Kristiani Apakah akan ada yang berani bubarin kayak gini?? Cmn penasaran aja berani gak mereka ","1939473795330593256","","2BasileaTheoph","in","","0","1","1","https://x.com/undefined/status/1939473795330593256","994471470",
"1939346999469543713","Sun Jun 29 23:59:18 +0000 2025","0","@GenZNusantara Dengan MBG Presiden Prabowo pastiin semua anak punya hak berkembang jadi generasi unggul","1939473785671053510","","GenZNusantara","in","","0","0","0","https://x.com/undefined/status/1939473785671053510","1904034516890767360",
"1938592193922617629","Sun Jun 29 23:58:45 +0000 2025","0","@CraigHalo37231 @cinnamonw234 Kalo misalkan yang ngadain ini keluarga contohnya:- keluarga besar bapak Presiden yang terhormat Pak Prabowo yang dimana keluarga besar beliau Djojohadikusumo penganut Kristiani Apakah akan ada yang berani bubarin kayak gini?? Cmn penasaran aja berani gak mereka ","1939473644406948037","","CraigHalo37231","in","","0","0","0","https://x.com/undefined/status/1939473644406948037","994471470",
"1939350476346290390","Sun Jun 29 23:58:44 +0000 2025","0","@KotaNusantara Dukungan terus mengalir buat Presiden Prabowo yang fo","1939473640451658158","","KotaNusantara","in","","0","0","0","https://x.com/undefined/status/1939473640451658158","1701105340908285952",
"1939350473422905663","Sun Jun 29 23:58:32 +0000 2025","0","@KotaNusantara Presiden Prabowo tunjukin kepeduliannya ke petani lewat perhatian penuh pada modernisasi irigasi","1939473592250737095","","KotaNusantara","in","","0","0","0","https://x.com/undefined/status/1939473592250737095","1700703568884592640",
"1938592193922617629","Sun Jun 29 23:58:32 +0000 2025","0","@cinnamonw234 Kalo misalkan yang ngadain ini keluarga contohnya:- keluarga besar bapak Presiden yang terhormat Pak Prabowo yang dimana keluarga besar beliau Djojohadikusumo penganut Kristiani Apakah akan ada yang berani bubarin kayak gini?? Cmn penasaran aja berani gak mereka ","1939473590380007441","","cinnamonw234","in","","0","0","0","https://x.com/undefined/status/1939473590380007441","994471470",
"1939347781434679700","Sun Jun 29 23:58:31 +0000 2025","0","@GenZNusantara Inovasi CKG dari Presiden Prabowo bantu tekan biaya pengobatan penyakit berat ke depannya","1939473585543979490","","GenZNusantara","in","","0","0","0","https://x.com/undefined/status/1939473585543979490","1691315878707773440",
