"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1942006615936499948","Sun Jul 06 23:43:52 +0000 2025","0","Burhanuddin Muhtadi Minta Publik Tak Fanatik Buta terhadap Dedi Mulyadi Khawatir 'Fenomena Jokowi ' Terulang","1942006615936499948","","","in","","0","0","0","https://x.com/undefined/status/1942006615936499948","1901046411925614594",
"1941485009019470312","Sun Jul 06 23:27:40 +0000 2025","2","@MarahIchsan Yai sudah tua tinggal dijemput malaikat sadar dirilah bela-bela termul Dedi kan 11-12 sama mukidi.apa sih urugensinya rubah nama Al ikhsan Mulyadi pekok?? trus sklian dirubah rs st Boromeus RS Maranatha","1942002539727401117","","MarahIchsan","in","","0","0","0","https://x.com/undefined/status/1942002539727401117","1872241829103673344",
"1941995460346220778","Sun Jul 06 22:59:32 +0000 2025","0","Prihatin Dedi Mulyadi Mulai Dikultuskan Pengamat Ingatkan Pengalaman Buruk Zaman Jokowi: Sampai Disebut Nabi Video lengkapnya klik disini : https://t.co/Cf2ZOpLtTi https://t.co/qYgj1wlp5L","1941995460346220778","https://pbs.twimg.com/media/GvNalHzb0AEmgqA.jpg","","in","","0","0","0","https://x.com/undefined/status/1941995460346220778","1905678960283037696",
"1941871750956134833","Sun Jul 06 21:27:08 +0000 2025","161","@cobeh2022 Klau Dedi Mulyadi pejabat cerdas suruh dia sediakan lapangan kerja buat rakyat... Agar ekonomi Jabar membaik. Klau cuma ngonten ngangkat² padi mah semua orang juga bisa","1941972204276576267","","cobeh2022","in","","0","7","7","https://x.com/undefined/status/1941972204276576267","1665289147844812800",
"1941707707578450392","Sun Jul 06 21:12:24 +0000 2025","67","@spilloff_ @DewiPutriku06 @Ryogartshop1 @FamilyLing59616 @cobeh2022 Serunya scroll tuh ya gini.. Dapet ilmu baru. Ternyata pendirinya pernah terlibat korupsi dan rumah sakit ini dirampas jadi aset negara. Link disertakan. https://t.co/6NTrryTOLQ https://t.co/lkV9Kmwlm5","1941968496793203172","https://pbs.twimg.com/media/GvNCDLuWIAAdJNa.jpg","spilloff_","in","","0","1","0","https://x.com/undefined/status/1941968496793203172","919616833002512385",
"1941947032635408831","Sun Jul 06 19:47:06 +0000 2025","7","Dedi Mulyadi gubernur Jawa Barat yang menamakan dirinya KDM ini adalah jagoan Aguan. Aguan adalah pencuri dan perampas tanah2 rakyat atas izin pemerintah Jokowi. Hancurkan Dedi Mulyadi! #BubarkanGengSolo #BubarkanGengSolo https://t.co/Tu09mdG485","1941947032635408831","https://pbs.twimg.com/amplify_video_thumb/1941947017753751553/img/9csMYzIOXJ_sLwwu.jpg","","in","","1","0","6","https://x.com/undefined/status/1941947032635408831","1604064608913723394",
"1941937984846356849","Sun Jul 06 19:11:09 +0000 2025","0"," setiap masa ada orangnya setiap orang ada masanya tcih akal an dedi mulyadi","1941937984846356849","","","in","","0","1","0","https://x.com/undefined/status/1941937984846356849","1340132863841210368",
"1941804568217874939","Sun Jul 06 19:10:57 +0000 2025","0","@youngkr @mfselfol kang dedi mulyadi sih kak","1941937933243605256","","youngkr","in","","0","1","0","https://x.com/undefined/status/1941937933243605256","2910202508",
"1941936772629627012","Sun Jul 06 19:06:20 +0000 2025","1","Gubernur Jabar Dedi Mulyadi menolak wacana pemekaran Jabar jadi lima provinsi karena terkendala moratorium dan bukan prioritas. Anggaran lebih baik untuk infrastruktur sekolah rumah sakit dan layanan publik daripada membentuk provinsi baru. #JawaBarat #DediMulyadi https://t.co/kXgy12vSQb","1941936772629627012","https://pbs.twimg.com/media/GvMlNBMasAAb-29.jpg","","in","","0","0","0","https://x.com/undefined/status/1941936772629627012","1858437040138022912",
"1941503251268215127","Sun Jul 06 18:00:47 +0000 2025","0","@vanTopan88 @MakanyaSekolah @dul_ises @cobeh2022 @DediMulyadi71 Gak ada yg salah...dan gak salah juga pak Dedi Mulyadi mengganti nama tsb. Toh juga namanya bagus kok...","1941920276792668621","","vanTopan88","in","","0","1","0","https://x.com/undefined/status/1941920276792668621","1799157926214705152",
