"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1951184951652786637","Fri Aug 01 07:35:18 +0000 2025","2","Erica Carlina udah melahirkan anak pertamanya Andrew Raxy Neil ikut senang tapi sedih jg krn yg gendong bayi ny bravy bukan dj panda smg dj panda bs ketemu anakny dan diizinkan mba Erika Carlina https://t.co/JZUGOuRpzR","1951184951652786637","https://pbs.twimg.com/amplify_video_thumb/1951184891439357952/img/hhmGCEJVXNCXYCo1.jpg","","in","","0","0","0","https://x.com/undefined/status/1951184951652786637","1219640316526907393",
"1951142583943700583","Fri Aug 01 04:46:57 +0000 2025","5"," Selamat datang ke dunia Andrew Raxy Neil! Dan selamat juga untuk Erica Carlina Hari ini bukan cuma tanggal lahir Andrew tapi juga lahirnya cinta baru yang tak terhingga. Semoga tumbuh sehat yaaa #WelcomeBaby #EricaCarlina #AndrewRaxyNeil https://t.co/bQnj3jiwZB","1951142583943700583","https://pbs.twimg.com/media/GxPZ1hZaIAEf5-E.jpg","","in","","0","1","0","https://x.com/undefined/status/1951142583943700583","1704032078667620352",
"1951139134338396598","Fri Aug 01 04:33:14 +0000 2025","2","Selamat mba Erica Carlina resmi menjadi ibu https://t.co/l7anUX9xf7","1951139134338396598","https://pbs.twimg.com/media/GxPWsssaIAAsNB7.jpg","","in","","0","1","0","https://x.com/undefined/status/1951139134338396598","1790962911743197184",
"1951134892537880844","Fri Aug 01 04:16:23 +0000 2025","9","Netti Friends Erica Carlina udah lahiran‼️ sehat sehat baby Andrew &amp; mba Er https://t.co/vb2d8qYUeA","1951134892537880844","https://pbs.twimg.com/media/GxPS11uaAAALVlu.jpg","","in","","1","3","2","https://x.com/undefined/status/1951134892537880844","1889539239748268032",
"1950843789410750965","Thu Jul 31 10:37:28 +0000 2025","0","@0kmroadway Kmrn ada yg blg w mirip erica carlina skrg tara basro ntar apalagi nih","1950868406842089908","","0kmroadway","in","","0","1","0","https://x.com/undefined/status/1950868406842089908","1433291917018558468",
"1950506445771792885","Wed Jul 30 10:40:59 +0000 2025","1","aku ga munafik yg nonmus pun gue jg bakal mengherankan klo ga behave the way they should gue bawa deh kyk misal si ini erica carlina? Yg kmrn hamil diluar nikah sering umbar soal agamanya tapi ga behave sesuai agamanya. She's non muslim tapi malu in umat non muslim jg","1950506905987641846","","lendlens1","in","","0","0","0","https://x.com/undefined/status/1950506905987641846","1374200268020019202",
"1950122927141110129","Tue Jul 29 15:24:01 +0000 2025","1","@janwekim Jalan kaki kena e-tilang itu gmn sih?nyebrang jalan pas lampu hijau gt kah? Mendingan tilang memek erica carlina &amp; pelernya dj panda deh.. Udh bikin gaduh gak ada link videonya pula..","1950215742932099344","","janwekim","in","","0","0","0","https://x.com/undefined/status/1950215742932099344","1530150469456121858",
"1950196120124379171","Tue Jul 29 14:16:55 +0000 2025","0","@sbyfess Kalo kata erica carlina main uno sih","1950198858396348702","","sbyfess","in","","0","0","0","https://x.com/undefined/status/1950198858396348702","1880890527203418112",
"1950191635389628801","Tue Jul 29 13:48:13 +0000 2025","3","ini gimana ya cara ngemute konten ttg erica carlina sm dj panda? seliweran mulu gue liat2 muak","1950191635389628801","","","in","","0","0","0","https://x.com/undefined/status/1950191635389628801","1246730470114480131",
"1950023314828591295","Tue Jul 29 02:39:22 +0000 2025","2","ayah kandung anak erica carlina ternyata DJ Ohim","1950023314828591295","","","in","","0","0","1","https://x.com/undefined/status/1950023314828591295","1446570945804574721",
