"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1939648636515950702","Mon Jun 30 11:34:06 +0000 2025","0","Gibran Tak Berpartai Pemakzulan Wapres Seharusnya Mudah https://t.co/c5XXYOk6bk https://t.co/UY7weMU2iv","1939648636515950702","https://pbs.twimg.com/media/GusEJ7PW4AAMgru.jpg","","in","","0","0","0","https://x.com/undefined/status/1939648636515950702","1326082678798516224",
"1939177152848765219","Mon Jun 30 11:33:34 +0000 2025","0","@Lembayung071 @jokowi @prabowo @gibran_tweet Sy muslim tapi klw liat sesama muslim kelakuan intoleran kek gitu kok jijik liatnya...di kami jawa tengah biasa aja tuh orang kristen ma islam","1939648500129743118","","Lembayung071","in","","0","0","0","https://x.com/undefined/status/1939648500129743118","1849118273780297728",
"1939648253865361469","Mon Jun 30 11:32:35 +0000 2025","1","udah ahhh halu nya takut makin gila bisa2 nanti gw jadi kaum gibran lagi ","1939648253865361469","","","in","","0","0","0","https://x.com/undefined/status/1939648253865361469","2801384401",
"1939633778714153182","Mon Jun 30 11:32:27 +0000 2025","0","@naraa_1233 @raatheight iyh dia sama gibran taeil walid. kalo ak sama jeonghan dokyeom","1939648222131360029","","naraa_1233","in","","0","0","0","https://x.com/undefined/status/1939648222131360029","1814278164174209025",
"1939623873936531474","Mon Jun 30 11:32:19 +0000 2025","0","@abu_waras Itu sinyal dari prabowo agar masyarakat para tokoh agama dan para purnawirawan yg cinta negeri untuk segera mendesak dpr/mpr untuk memakzulkan @gibran_tweet secepatnya. Prabowo itu aslinya gak suka gibran tetapi politik terpaksa harus berpura pura suka.","1939648185678573779","","abu_waras","in","","0","0","0","https://x.com/undefined/status/1939648185678573779","1916095231625424896",
"1939636279282716836","Mon Jun 30 11:31:59 +0000 2025","0","@democrazymedia Justru asing paling suka sama orang macam gibran.","1939648104674017744","","democrazymedia","in","","0","0","0","https://x.com/undefined/status/1939648104674017744","738746739859935233",
"1939647994602873027","Mon Jun 30 11:31:33 +0000 2025","0","Menteri2 pilihan Prabowo ini kualitasnya jauh banget jika dibandingkan dengan Menteri2 pilihan Jokowi selama 2 periode lalu. Tapi yg salah tetap Jokowi kok. Yang dihina dicaci-maki tetap Jokowi dan Gibran","1939647994602873027","","","in","","0","0","0","https://x.com/undefined/status/1939647994602873027","1029633260",
"1939177152848765219","Mon Jun 30 11:30:51 +0000 2025","0","@altong1973 @Lembayung071 @jokowi @prabowo @gibran_tweet Jawa barat kebanyakan pada kena doktrin gelandangan yaman bang..jadi sumbu mereka pendek","1939647816793821683","","altong1973","in","","0","0","0","https://x.com/undefined/status/1939647816793821683","1849118273780297728",
"1939647176109642173","Mon Jun 30 11:28:18 +0000 2025","0","Polsek Jatinegara melakukan pengamanan rute (PAM Rute) bagi rombongan Presiden Republik Indonesia H. Prabowo Subianto dan Wakil Presiden RI Gibran Rakabuming Raka beserta Ibu Wakil Presiden Selvi Ananda pada Minggu 29 Juni 2025. https://t.co/1z4F7j5JDC","1939647176109642173","https://pbs.twimg.com/media/GusC04fXwAAT7oY.jpg","","in","","0","0","0","https://x.com/undefined/status/1939647176109642173","1247733760679751680",
"1939642312235335729","Mon Jun 30 11:26:17 +0000 2025","0","@hungrylalaa @jokowi @gibran_tweet @bobbynasution_ didoain nih","1939646670893191478","","hungrylalaa","in","","0","0","0","https://x.com/undefined/status/1939646670893191478","1857549596198842372",
