"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1941322344913609185","Sun Jul 06 06:36:08 +0000 2025","0","@BobbyPatriotCat @Srik4ndiMuslim2 @prabowo @jokowi Aku nyoblos Gambar Prabowo Tapi CUEKIN GAMBARnya GIBRAN","1941747976378122710","","BobbyPatriotCat","in","","0","0","0","https://x.com/undefined/status/1941747976378122710","1519252466281623552",
"1941497486733881489","Sun Jul 06 06:35:38 +0000 2025","0","@NataliusPigai2 NGELESSSSSSSS Setelah ada penolakan dr masy - kemudian cari kambing hitam Kualitas bawahan Pak @prabowo @gibran_tweet memang EMEJING https://t.co/DHjDDdnKRY","1941747853719896379","https://pbs.twimg.com/tweet_video_thumb/GvJ5YDlbkAAlwLK.jpg","NataliusPigai2","in","","0","0","0","https://x.com/undefined/status/1941747853719896379","754191057554776064",
"1941747842953171309","Sun Jul 06 06:35:36 +0000 2025","0","Hensa Ungkap Tiga Skema Lengserkan Gibran: Sukarela Mundur Secara Konstitusional atau ke MK https://t.co/aeDzsuGoyH","1941747842953171309","","","in","","0","0","0","https://x.com/undefined/status/1941747842953171309","3319260420",
"1941747722651918466","Sun Jul 06 06:35:07 +0000 2025","0","@gibran_tweet kapan pindah elu? https://t.co/s78N4hZ3l0","1941747722651918466","https://pbs.twimg.com/media/GvJ5QzyWEAEtEJT.jpg","gibran_tweet","in","","0","0","0","https://x.com/undefined/status/1941747722651918466","947632364003368961",
"1941747683619897570","Sun Jul 06 06:34:58 +0000 2025","1","Raden Dato Mohammad Iman Hascarya Kusumo eks Wakil Bendahara Tim Kampanye Nasional (TKN) Prabowo-Gibran mengikuti fit and proper test sebagai calon Duta Besar Luar Biasa dan Berkuasa Penuh (LBBP) Indonesia untuk Malaysia | #DubesRIuntukMalaysia https://t.co/7xp5kjuHTl","1941747683619897570","","","in","","0","0","1","https://x.com/undefined/status/1941747683619897570","23343960",
"1941733335686066229","Sun Jul 06 06:33:14 +0000 2025","0","@BANGSAygSUJUD @prabowo @99propaganda @awikuchuz @FDonghun @florieliciouss @IrawanRommi @Kimberley_PS08 @kiwalipitu @Ndons_Back @staysaferek Betul ️ Kita dukung pemerintahan Bpk Prabowo Subianto dan Gibran Rakabuming Raka untuk membangun dan mensejahterakan rakyat Indonesia. Ada suara sumbang dari kelompok-kelompok kritis seperti @ch_chotimah2 dkk tetap perlu kita dengarkan. Iyakan @KenSavitri35075 ️","1941747246900625735","","BANGSAygSUJUD","in","","0","1","0","https://x.com/undefined/status/1941747246900625735","1003546165105704962",
"1941630831669412165","Sun Jul 06 06:31:29 +0000 2025","1","@MYusufN8 @prabowo @Kemhan_RI @KejaksaanRI @msaid_didu @DPR_RI @YLBHI @SianiparRismon @DokterTifa @ReflyHZ @susno2g @aniesbaswedan @NajwaShihab @zainalamochtar @Nurmantyo_Gatot @AbrSamad @UbedilahB Segerakan makzulkan Gibran bhy jgn beri ruang ank pki jdi wapres indonesia gawat darurat berbahaya komunis...","1941746806079226105","","MYusufN8","in","","0","0","0","https://x.com/undefined/status/1941746806079226105","1509359421721260036",
"1941708686038110469","Sun Jul 06 06:31:08 +0000 2025","0","@tvOneNews Giliran keputusan MK 90 yg kontroversial dan pelanggaran etika MKMK penxalkban Gibran cawapres ko @NasDem bungkam seribu bahasa.","1941746718154031599","","tvOneNews","in","","0","0","0","https://x.com/undefined/status/1941746718154031599","1846749067864625153",
"1941127522302730276","Sun Jul 06 06:31:01 +0000 2025","0","@mmarleyt @kumparan @prabowo @gibran_tweet Ijazah palsu kan yg lunya ijazah juga udah. Bukan pimpinan bro","1941746689569599980","","mmarleyt","in","","0","0","0","https://x.com/undefined/status/1941746689569599980","30445218",
"1941746608930160916","Sun Jul 06 06:30:42 +0000 2025","0","Jangan nodai demokrasi yang udah diperjuangkan Gibran Wapres pilihan rakyat langsung #WapresSahDipilihRakyat https://t.co/VBmS2u230O","1941746608930160916","https://pbs.twimg.com/media/GvJ4IHcaEAANh1c.jpg","","in","","0","0","0","https://x.com/undefined/status/1941746608930160916","1690928344727158785",
"1941746336141107253","Sun Jul 06 06:29:37 +0000 2025","0","Ha ha ingat Debat Pilpres Mahfud tdk berkualitaa jawab Gibran menseret &amp; tekapar https://t.co/OiUS6422mO","1941746336141107253","https://pbs.twimg.com/media/GvJ4AI5aAAYsWcg.jpg","","in","","0","0","0","https://x.com/undefined/status/1941746336141107253","1013331201396912128",
"1941274777718751448","Sun Jul 06 06:28:38 +0000 2025","0","@BuniYani Hasil pemilu nggak bisa diputar balik sama aksi anarkis Gibran tetep wapres legal","1941746089008517172","","BuniYani","in","","0","0","0","https://x.com/undefined/status/1941746089008517172","1703620954902114304",
