"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1936639519455121413","Sun Jul 06 06:22:09 +0000 2025","0","[gunung rinjani] part 3 ada danau juga di perjalanan n ini aku ke puncaknya waktu itu sama temen2ku https://t.co/4QRBR1srur","1941744460725117229","https://pbs.twimg.com/media/GvJ2ERQaAAA2CgF.png","juvenesce","in","","0","0","0","https://x.com/undefined/status/1941744460725117229","1601897239864934400",
"1936639519455121413","Sun Jul 06 06:22:08 +0000 2025","0","[gunung rinjani] part 2 mau ke puncak gunung rinjaninya juga ada beberapa pilihan mau kemana dlu https://t.co/F71balC3Yf","1941744456107163701","https://pbs.twimg.com/media/GvJxXaVaAAESJur.png","juvenesce","in","","0","1","0","https://x.com/undefined/status/1941744456107163701","1601897239864934400",
"1936639519455121413","Sun Jul 06 06:22:07 +0000 2025","0","[gunung rinjani] part 1 ada 4 bukit juga buat ditrek gampang sih bukitnyaa https://t.co/bnME2fDtmT","1941744451472564359","https://pbs.twimg.com/media/GvJsLAaaAAAMltH.png","juvenesce","in","","0","1","0","https://x.com/undefined/status/1941744451472564359","1601897239864934400",
"1941496997376295196","Sun Jul 06 06:20:20 +0000 2025","0","@lemuyapper gunung rinjani ","1941744002673541197","","lemuyapper","in","","0","0","0","https://x.com/undefined/status/1941744002673541197","1267508636135260160",
"1929774772034195841","Sun Jul 06 06:13:40 +0000 2025","0"," Gunung Rinjani https://t.co/YcZYs8KuSJ","1941742324180209893","https://pbs.twimg.com/media/GvJ0WmzaoAABD57.jpg","le37uyeon","in","","0","1","0","https://x.com/undefined/status/1941742324180209893","1630218226897653760",
"1941740949756854760","Sun Jul 06 06:08:12 +0000 2025","0","https://t.co/HoO3PbsFa9 Ada konten kreator janda bikin POV korban meninggal tragis gunung rinjani dijadiin objek komedi. Diingetin di kolom komen malah marah2 ngatain babi di stories nya. Udah tua kok gabisa nalar bikin komedi yg enggak nyinggung korban meninggal tragis ️","1941740949756854760","","","in","","0","0","0","https://x.com/undefined/status/1941740949756854760","241056698",
"1941445605735399673","Sun Jul 06 05:40:27 +0000 2025","0","@DaniRizkySaput2 @kegblgnunfaedh Kalau lu belum pernah naik gunung atau belum pernah ke rinjani gak usah bacot lu","1941733963682513214","","DaniRizkySaput2","in","","0","0","0","https://x.com/undefined/status/1941733963682513214","1687970209506922497",
"1941733838696112248","Sun Jul 06 05:39:57 +0000 2025","0","Ada konten kreator janda bikin POV korban meninggal tragis gunung rinjani dijadiin objek komedi. Diingetin di kolom komen malah marah2 ngatain babi di stories nya. Udah tua kok gabisa nalar bikin komedi yg enggak nyinggung korban meninggal tragis ️","1941733838696112248","","","in","","0","1","0","https://x.com/undefined/status/1941733838696112248","241056698",
"1941680337484120429","Sun Jul 06 04:25:44 +0000 2025","4","@taharudddin Sekalian aja Gunung Rinjani diaku2 sbg Malaysia","1941715162500870617","","taharudddin","in","","0","1","0","https://x.com/undefined/status/1941715162500870617","1878738942482370560",
"1941709108807336199","Sun Jul 06 04:01:41 +0000 2025","1","Brasil disebut akan menuntut Indonesia akibat kematian Juliana Marins di Gunung Rinjani. gopay split bill Morning Minggu promo bri pagiii https://t.co/kDw5baPz83","1941709108807336199","","","in","","0","1","0","https://x.com/undefined/status/1941709108807336199","1925110181089910784",
