"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1914504494345302500","Tue Apr 22 07:40:07 +0000 2025","0","@tanyakanrl Kenapa level tertinggi sebagian besar orang Indonesia itu jalan2 ke bali ya ? Kayak kalo ke bali itu amat sangat sungguh wow. Padahal sama aja kek kota lain bedanya lebih banyak bule aja ","1914584990987509903","","tanyakanrl","in","ÜT: -6.15776,106.77944","0","0","0","https://x.com/Almarhum13/status/1914584990987509903","72486229","Almarhum13"
"1914565122766594153","Tue Apr 22 07:40:05 +0000 2025","0","@vivo_indonesia Gue sih tim gak mau ribet makanya kalo selfie terganggu langsung buka AI Erase 2.0 aja gak perlu ngedit lama-lama hasilnya juga rapi parah! #vivoV50Lite #LebihTipisLebihKuat @vivo_indonesia","1914584981365825754","","vivo_indonesia","in","Indonesia ","0","0","0","https://x.com/AzkaNurzanah/status/1914584981365825754","1788571637392302081","AzkaNurzanah"
"1914565122766594153","Tue Apr 22 07:40:04 +0000 2025","0","@vivo_indonesia Gak semua HP bisa kayak #vivoV50Lite ! AI Erase 2.0 bener-bener bawa pengalaman baru dalam fotografi! @vivo_indonesia #LebihTipisLebihKuat https://t.co/XFLYQQ6sjR","1914584977762820210","","vivo_indonesia","in","Indonesia","0","0","0","https://x.com/TashariSuryono/status/1914584977762820210","1744582975088713728","TashariSuryono"
"1914584977561542844","Tue Apr 22 07:40:04 +0000 2025","0","Rakyat diusir semuanya atas nama negara atau proyek PSN terus mereka kuasai menguras merusak kekayaan alam Indonesia","1914584977561542844","","","in","PANCASILA SAKTI","0","0","0","https://x.com/toedjoetiga/status/1914584977561542844","117444370","toedjoetiga"
"1914359883895648659","Tue Apr 22 07:40:03 +0000 2025","0","@kkanzaki makaci ao chang","1914584973878657056","","kkanzaki","in","Ayselle, Jihoon's kisser","0","0","0","https://x.com/simp4suo/status/1914584973878657056","1880182849044893696","simp4suo"
"1914544698963976461","Tue Apr 22 07:40:03 +0000 2025","0","@ARSIPAJA bisa2nya mengkritik indonesia emas","1914584971249115217","","ARSIPAJA","in","","0","0","0","https://x.com/budi2984/status/1914584971249115217","223072625","budi2984"
"1914565122766594153","Tue Apr 22 07:40:02 +0000 2025","0","@vivo_indonesia Wihh keren ya #vivoV50Lite uda ada fitur AI 20 otw nabung biat beli vivo V50 ahh #LebihTipisLebihKuat @vivo_indonesia","1914584970410254551","","vivo_indonesia","in","Indonesia","0","0","0","https://x.com/bumbumprett/status/1914584970410254551","1642062268992196619","bumbumprett"
"1914565122766594153","Tue Apr 22 07:40:02 +0000 2025","0","@vivo_indonesia Ini sih Hanphone yang gue inginkan dari dulu #vivoV50Lite kameranya emang sebagus itu apalagi di tambahin fitur Al Erase 2.0 #LebihTipisLebihKuat @vivo_indonesia","1914584970271871121","","vivo_indonesia","in","Indonesia","0","0","0","https://x.com/sepuseh2428/status/1914584970271871121","1718887713309708288","sepuseh2428"
"1914568562662080851","Tue Apr 22 07:39:57 +0000 2025","0","@pweattypeachie umur berapa","1914584948952207621","","pweattypeachie","in","sedang sibuk. ","0","0","0","https://x.com/spyderbliz/status/1914584948952207621","1700162058551984128","spyderbliz"
"1914576568212722103","Tue Apr 22 07:39:55 +0000 2025","0","@ChenRcj Jakarta Indonesia https://t.co/56gOViMizw","1914584939259174912","https://pbs.twimg.com/media/GpH4jQ3a4AArZbI.jpg","ChenRcj","in","Indonesia","0","0","0","https://x.com/busanbabe97/status/1914584939259174912","1160239152178200576","busanbabe97"
"1914359883895648659","Tue Apr 22 07:39:52 +0000 2025","0","@bunggkam YA KANN SEMINGGU JIR","1914584927166935310","","bunggkam","in","Ayselle, Jihoon's kisser","0","0","0","https://x.com/simp4suo/status/1914584927166935310","1880182849044893696","simp4suo"
"1914565122766594153","Tue Apr 22 07:39:51 +0000 2025","0","@vivo_indonesia Udah gak takut ambil foto di tempat rame ada AI Erase 2.0 yang bisa bersihin. Beli sekarang! #vivoV50Lite #LebihTipisLebihKuat @vivo_indonesia","1914584923908006273","","vivo_indonesia","in","Indonesia","0","0","0","https://x.com/placittied/status/1914584923908006273","2758490561","placittied"
"1914565122766594153","Tue Apr 22 07:39:51 +0000 2025","0","@vivo_indonesia serunya foto foto tanpa khawatir gangguan orang lewat solusi terbaik pakai Ai Erase 2.0 di #vivoV50Lite karna bikin foto jad lebih jernih dan bisa bersihin background @vivo_indonesia #LebihTipisLebihKuat","1914584923224334545","","vivo_indonesia","in","indonesia","0","0","0","https://x.com/DamayJuly16734/status/1914584923224334545","1818955943536959488","DamayJuly16734"
"1914572763261747500","Tue Apr 22 07:39:51 +0000 2025","0","@bibahjenner Kenapa baruKenapa baru kepikiran sekarang","1914584921785688433","","bibahjenner","in","","0","0","0","https://x.com/TopRandomVideos/status/1914584921785688433","1842982367600029697","TopRandomVideos"
"1914565122766594153","Tue Apr 22 07:39:50 +0000 2025","0","@vivo_indonesia Dulu males foto outdoor karena takut bocor background sekarang mah gas terus! AI Erase 2.0 kan ada! #vivoV50Lite @vivo_indonesia #LebihTipisLebihKuat","1914584919050772600","","vivo_indonesia","in","Indonesia","0","0","0","https://x.com/miming804/status/1914584919050772600","1799084549223374848","miming804"
