"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1753568961869062177","Fri Feb 02 23:59:54 +0000 2024","0","#jokowi mendingan ada covid orang orang kaya kasih bansos tidak pandang bulu... Sekarang eli dari partai mana.. Baru boleh dapet bansos.. Begitu hebat kah anggota dewan memberi tapi tanyA dari partai manA. Tidak peduli orang kelaparan kangen covid","1753568961869062177","","","in","","0","0","0","https://x.com/undefined/status/1753568961869062177","1266909007320698880",
"1753447816184410524","Fri Feb 02 23:59:51 +0000 2024","0","@Dennysiregar7 @jokowi Denny siregar demi duit rela merendahkan siapapun","1753568946039779595","","Dennysiregar7","in","","0","0","0","https://x.com/undefined/status/1753568946039779595","1496624393635897345",
"1753568945318322248","Fri Feb 02 23:59:50 +0000 2024","0","Itu kenapa Jokowi harus dilengserkan karena ucapan beliau menjadi selalu benar dihadapan pemujanya udah kaya firaun aja","1753568945318322248","","","in","","0","0","0","https://x.com/undefined/status/1753568945318322248","773305320999297026",
"1753447816184410524","Fri Feb 02 23:59:49 +0000 2024","0","@Dennysiregar7 @jokowi Cuman 2 orang masih puluhan org terbaik ada dibelakang Jokowi buka matalah","1753568940989841425","","Dennysiregar7","in","","0","0","0","https://x.com/undefined/status/1753568940989841425","1608987662433792003",
"1753259083216642096","Fri Feb 02 23:59:49 +0000 2024","0","@BANGSAygSUJUD Masih nggk mau dukung program jokowi? Artinya cm Prabowo yg akan melanjutkan programnya setelah jabatannya selesai nomor no 1 hanya akan memporak porandakan program jokowi seperti waktu jadi gub jakarta semua program Ahok yg bagus2 d hancurkan. Krn emang dia nggk bisa kerja","1753568939085599096","","BANGSAygSUJUD","in","","0","0","0","https://x.com/undefined/status/1753568939085599096","2895225523",
"1753568928486556057","Fri Feb 02 23:59:46 +0000 2024","68","Sepanjang sekarang Bangsa ini Banteng Blm pernah menang dalam Pemilu nenang pemilu saat ada kader yang bernama @jokowi ....beliaulah yg angkat Derajat Banteng tapi malah di hina2 .....yo wes Banteng kembali masuk kandang Vidio hanya pemanis buat petugas partai baru https://t.co/y9jzJaLARP","1753568928486556057","https://pbs.twimg.com/ext_tw_video_thumb/1753568771124658176/pu/img/Y1k0tkoBB5YmxkBD.jpg","","in","","9","26","22","https://x.com/undefined/status/1753568928486556057","1227499861580251136",
"1753265929285521722","Fri Feb 02 23:59:43 +0000 2024","0","@encuymebeul @tijabar Dan rakyat yg belum paham pasti percaya klu itu bantuan dr Jokowi bukan dari uang rakyat. Makanya rakyat sengaja dibodohkan agar mudah dibodoh2in","1753568915748516101","","encuymebeul","in","","0","0","0","https://x.com/undefined/status/1753568915748516101","831681443923271681",
"1753567060112842790","Fri Feb 02 23:59:39 +0000 2024","1","@FransSimo @Ahok @jokowi In my humble personal opinion demokrasi sudah mati saat keluar FATWA dan Ahok ditahan agar terhenti karirnya di DKI. Jadi kalo sekarang baru teriak demokrasi mati bla bla bla kemaren2 kemana aja.","1753568898220491077","","FransSimo","in","","0","0","0","https://x.com/undefined/status/1753568898220491077","1717067783165620224",
"1753568885843099783","Fri Feb 02 23:59:36 +0000 2024","0","Kalau buat bansos bisa dibuat ada tambahan 20T lebih ya pak giliran buat ASN diblokir anggaran. terima kasih loh @jokowi ","1753568885843099783","","","in","","0","0","0","https://x.com/undefined/status/1753568885843099783","177863411",
"1753447816184410524","Fri Feb 02 23:59:24 +0000 2024","0","@Dennysiregar7 @jokowi Makanya neo cortex dipake bang jgn croc brain yg di kedepankan ","1753568833154236541","","Dennysiregar7","in","","0","0","0","https://x.com/undefined/status/1753568833154236541","246718101",
"1753429451227230281","Fri Feb 02 23:59:09 +0000 2024","0","@Aryprasetyo85 @007koteka @03__nakula @2045Tv @__AnakKolong @_memoryusang @islah_bahrawi @Miduk17 @fadjroeL @gm_gm Gag penting isu gag laku. 80% rakyat puas dengan kinerja jokowi. Seupil kayak kalian gag berguna.. Jualan isu mahfud berenti gag laku","1753568770562707907","","Aryprasetyo85","in","","0","0","0","https://x.com/undefined/status/1753568770562707907","996437119433261056",
"1753324786909057153","Fri Feb 02 23:58:49 +0000 2024","0","@geloraco Jangan kelamaan langsung menghadap saja daripada sering menghadap si Jokowi karena pengaruhnya sangat buruk️️","1753568688819802387","","geloraco","in","","0","0","0","https://x.com/undefined/status/1753568688819802387","2336923652",
"1753447816184410524","Fri Feb 02 23:58:46 +0000 2024","0","@Dennysiregar7 @jokowi *Yang tidak sepaham ayo segera mundur. Jangan lama-lama supaya tidak menjadi duri... ","1753568674915701019","","Dennysiregar7","in","","0","0","0","https://x.com/undefined/status/1753568674915701019","1190466370166640647",
"1753447816184410524","Fri Feb 02 23:58:46 +0000 2024","5","@Dennysiregar7 @jokowi Itu kata loe. Rakyat tdk melihat seperti itu. Yg mundur ya mundur mereka punya agenda politiknya masing2. Yg masih di kabinet dan berkampanye ya sesuai ketentuan undang2 tdk ada yg dilanggar. Yg buat aturan juga partai2 yg jadi kontestan dlm pemilu tahun ini.","1753568674487947586","","Dennysiregar7","in","","0","0","1","https://x.com/undefined/status/1753568674487947586","3230404190",
"1753447816184410524","Fri Feb 02 23:58:38 +0000 2024","0","@angedespoir5 @Dennysiregar7 @jokowi @jokowi akibat pergaulan bebas","1753568639352185252","","angedespoir5","in","","0","0","0","https://x.com/undefined/status/1753568639352185252","1241927928151064576",
"1753447816184410524","Fri Feb 02 23:58:36 +0000 2024","1","@Dennysiregar7 @jokowi Lama2 lae udh kayak Anies OMDO!!! bagiku nama Jolowi akan selalu kukenang sebagai salah satu tokoh pembangunan di negara ini. Aku bukan tipe org yg hanya mengingat 1 kesalahan dan melupakan 9 hal benar lainnya.","1753568634230992896","","Dennysiregar7","in","","0","0","0","https://x.com/undefined/status/1753568634230992896","223497852",
"1753064151671615801","Fri Feb 02 23:58:24 +0000 2024","0","@jokowi Lucu kau itu Wi untuk menutupi kelemahanmu yg gagal membangun bidang pertanian sehingga berakibat rakyat Indonesia kekurangan beras malah menyalahkan El Nino dan bilang negara tetangga juga mengalami kenaikan harga beras apakah kau lupa beras yg kau impor adalah dari mereka","1753568580917219652","","jokowi","in","","0","0","0","https://x.com/undefined/status/1753568580917219652","709252939995459584",
