"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1941301246092333559","Sat Jul 05 01:07:45 +0000 2025","2","@CNNIndonesia Sangat wajar keluarga Julia Marins tuntut RI ke jalur hukum internasional. Di indonesia aja kematian Gama Brigadir Yoshua dll ditutupi kok.","1941302948786733364","","CNNIndonesia","in","","0","0","0","https://x.com/undefined/status/1941302948786733364","1766477518784380928",
"1940302633249738756","Wed Jul 02 06:52:51 +0000 2025","0","@BNPB_Indonesia @btn_gn_rinjani drone spt ini sptnya kita butuhkan belajar dari kasus Julia Marins kemarin.","1940302633249738756","","BNPB_Indonesia","in","","0","0","0","https://x.com/undefined/status/1940302633249738756","3015954673",
"1939678005766308020","Tue Jul 01 06:13:16 +0000 2025","0","@pacarlimjaebeom @kdrama_menfess Julia marins aja 20 menit setelah jatuh yg kedua meninggal ya nder.... Ini ga ada patah tulang sama sekali tep aku yg rasionalis ini memilih untuk mandeg merampungkan wtpr ...","1939930284490703069","","pacarlimjaebeom","in","","0","0","0","https://x.com/undefined/status/1939930284490703069","18594606",
"1939551779777335312","Mon Jun 30 05:09:14 +0000 2025","0","btw kak Julia Marins ini termasuk orang yg 'beruntung' dia meninggal di tempat hobi dia mendaki gunung ya walaupun agak ekstrim sih. Semoga tenang disana kak ","1939551779777335312","","","in","","0","0","0","https://x.com/undefined/status/1939551779777335312","1789927536711131136",
"1937892165365166152","Wed Jun 25 15:14:31 +0000 2025","26","Tetapi bagaimanapun kami turut berbela sungkawa atas tragedi yang menimpa mendiang Juliana Marins di Gunung Rinjani tragedi ini tentu memilukan. Semoga Julia dapat beristirahat dalam damai dan dilancarkan proses kepulanganya ke Brasil nya untuk disemayamkan dengan layak. https://t.co/Sk8IsDioTZ","1937892165365166152","https://pbs.twimg.com/media/GuTFa2IaUAAso3v.jpg","","in","","0","1","2","https://x.com/undefined/status/1937892165365166152","497882992",
"1508652870832427017","Tue Mar 29 04:06:26 +0000 2022","0","julia dantas isabella marins e gabi kirsten - entregaram belas https://t.co/7a2O4AstiI","1508656806255640578","https://pbs.twimg.com/media/FO_TXZMXIAcsQz-.jpg","memeltuita","in","","1","1","0","https://x.com/undefined/status/1508656806255640578","1341578377363337217",
"1216733533932281856","Mon Jan 13 14:47:55 +0000 2020","1","@julia_fernandex kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk bucetudahhhhhh","1216733619596746759","","julixjj","in","","0","1","1","https://x.com/undefined/status/1216733619596746759","993205360482799616",
"1166146712542613504","Tue Aug 27 22:41:40 +0000 2019","1","@SsilvaClarissa @Putovisk5 @wendell_marins hihi","1166480929449287680","","SsilvaClarissa","tl","","0","1","1","https://x.com/undefined/status/1166480929449287680","1065443946283892736",
"1141139172771749890","Wed Jun 19 03:47:35 +0000 2019","1","@wendell_marins @baile_gaiola10 @Crf_Duda15 Hihi","1141190765667856390","","Wendinn_22","tl","","0","0","1","https://x.com/undefined/status/1141190765667856390","1065443946283892736",
"1134206543254228994","Thu May 30 23:06:39 +0000 2019","1","@wendell_marins Hihi ","1134234695716298752","","Wendinn_22","tl","","0","1","0","https://x.com/undefined/status/1134234695716298752","1065443946283892736",
"1119742294083678209","Sat Apr 20 23:19:01 +0000 2019","0","PPP belan maju marins Passo https://t.co/jdSP4paKPx","1119742294083678209","","","in","","0","0","0","https://x.com/undefined/status/1119742294083678209","883697325188763648",
"884887788948271104","Tue Jul 25 16:23:39 +0000 2017","1","@Alanna_marins Lindaa","889883859449520128","","lannamxs_","in","","0","0","0","https://x.com/undefined/status/889883859449520128","763039735833124864",
"781546055175380992","Thu Sep 29 18:10:25 +0000 2016","0","@enrico_marins @julia_ancelmo ta bobo ?","781556755348291584","","","tl","","0","1","0","https://x.com/undefined/status/781556755348291584","3432318339",
"658801666209239040","Tue Oct 27 00:26:19 +0000 2015","0","@deyse_marins Julia #BielMostraABunda","658801865258311680","","deyse_marins","es","","0","0","2","https://x.com/undefined/status/658801865258311680","3838101016",
"639521182153359360","Fri Sep 04 01:51:59 +0000 2015","2","@Santos_Juuuuh @Lopes_May14 @marins_celly Julia tu ta me surpreendendo BielNaFMoDIA #MPN #Biel","639616869201256448","","SantosJuuuuh","in","","0","1","1","https://x.com/undefined/status/639616869201256448","782834359",
"415323081482461184","Tue Dec 24 03:54:09 +0000 2013","1","@pedroh_marins @juli4borges @paolaferreira2 julia","415329524583108608","","","es","","0","1","0","https://x.com/undefined/status/415329524583108608","150012759",
"177573816787148801","Thu Mar 08 01:57:51 +0000 2012","0","P: julia marins R: ex cucu http://t.co/0NwfGYxA #MePergunte","177573816787148801","","","in","","0","0","0","https://x.com/undefined/status/177573816787148801","76451519",
