"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1940639961054876059","Thu Jul 03 05:13:16 +0000 2025","0","Mauro Zijlstra bakal temani Ole Romeny di lini depan tapi sepertinya dia bakal ada di belakang Ole. Dalam wawancara sebelumnya dia mengatakan bukan tipikal striker yang tunggu bola tapi lebih suka juga membawa bola dari tengah #maurozijlstra https://t.co/I6RxlE6Hhy","1940639961054876059","","","in","","0","0","0","https://x.com/undefined/status/1940639961054876059","34576772",
"1940639886220079123","Thu Jul 03 05:12:58 +0000 2025","0","Apa Itu Alegria? yang Diucapkan Ole Romeny ke Penggemar Timnas Indonesia https://t.co/0RYDsqCjKy","1940639886220079123","","","in","","0","0","0","https://x.com/undefined/status/1940639886220079123","1898358987218980864",
"1940581197056561382","Thu Jul 03 02:21:58 +0000 2025","0","@erickthohir FOkus ke timnas Ole romeny dkk aja Lakukan sgalanya pak agar indo Lolos pildun ","1940596850396221930","","erickthohir","in","","0","0","0","https://x.com/undefined/status/1940596850396221930","1850595546110853120",
"1940547392300110338","Wed Jul 02 23:05:26 +0000 2025","0","Mauro Zijlstra Pesaing Ole Romeny di Lini Serang Timnas Indonesia Punya Darah Keturunan Bandung https://t.co/10fgWxhpQU lewat @tribunnews #TimnasIndonesia #Indonesia #PSSI","1940547392300110338","","","in","","0","0","0","https://x.com/undefined/status/1940547392300110338","103551225",
"1940403939121443013","Wed Jul 02 13:35:24 +0000 2025","0"," Top Skor Timnas Indonesia 2025? 🇮🇩 Ole Romeny memimpin dengan 3 gol dicetak lawan China Bahrain &amp; Australia! Di bawahnya Marselino Ferdinan menempel ketat dengan 2 gol ke gawang Arab Saudi.Semangat Garuda makin panas! #TimnasIndonesia #GarudaMaju #OleRomeny https://t.co/AcNtk4Jzlc","1940403939121443013","https://pbs.twimg.com/media/Gu2zEGVXYAAwZPM.jpg","","in","","0","0","0","https://x.com/undefined/status/1940403939121443013","1912521108349145088",
"1940392845560672578","Wed Jul 02 12:51:19 +0000 2025","1","Mochizuki Satoru telah memilih 11 pemain pertama yang akan menghadapi Pakistan pada laga kedua Kualifikasi Piala Asia Wanita 2026. Isa Warps yang mencetak gol kemenangan ke gawang Kirgistan dicadangkan! 1️⃣1️⃣ #TimnasDay https://t.co/8hrjsZHFfG","1940392845560672578","","","in","","0","0","0","https://x.com/undefined/status/1940392845560672578","78239324",
"1940392740589871137","Wed Jul 02 12:50:54 +0000 2025","0","Mochizuki Satoru telah memilih 11 pemain pertama yang akan menghadapi Pakistan pada laga kedua Kualifikasi Piala Asia Wanita 2026. Isa Warps yang mencetak gol kemenangan ke gawang Kirgistan dicadangkan! 1️⃣1️⃣ #TimnasDay https://t.co/GPKWs2Phrg","1940392740589871137","","","in","","0","0","0","https://x.com/undefined/status/1940392740589871137","626306017",
"1940388412869251448","Wed Jul 02 12:33:47 +0000 2025","3","5️⃣ Ole Romeny Penyerang Meski baru debut pada Maret 2024 Romeny langsung masuk daftar berkat kontribusi 3 gol dari 4 pertandingan. Ia bersaing dengan penyerang-penyerang seperti Mehdi Taremi (Iran) dan Koki Ogawa (Jepang). https://t.co/D0CBerQH0K","1940388433622630839","https://pbs.twimg.com/media/Gu2k9LBXYAAJ3x_.jpg","FandomID_","in","","0","1","0","https://x.com/undefined/status/1940388433622630839","1175357460468490251",
"1940388412869251448","Wed Jul 02 12:33:42 +0000 2025","47","Lima pemain dari Timnas Indonesia tercantum dalam daftar nominasi Tim Impian (Dream XI) untuk fase Kualifikasi Piala Dunia 2026 zona Asia. Dari Maarten Paes hingga sang penyerang yang belum lama bergabung dengan Timnas Indonesia Ole Romeny. Sebuah utas https://t.co/FEqGRFMRhg","1940388412869251448","https://pbs.twimg.com/media/Gu2kDLhXoAA-Jr7.jpg","","in","","0","3","6","https://x.com/undefined/status/1940388412869251448","1175357460468490251",
"1940309274586149082","Wed Jul 02 07:19:14 +0000 2025","0","Ole Romeny Langsung Beri Pembuktian Oxford United Ketagihan Boyong Pemain Potensial dari Liga Belanda https://t.co/9fyFr1SzPf","1940309274586149082","","","in","","0","0","0","https://x.com/undefined/status/1940309274586149082","1486284086",
"1940232185128395063","Wed Jul 02 02:12:55 +0000 2025","2","FC 25 Tranmere Rovers Road to Glory | Penampilan Memukau Ole Romeny di EFL Championship #45 Tranmere Rovers menuju puncak Championship! Penampilan memukau Ole Romeny &amp; strategi transfer cerdas #FC25 #TranmereRovers #Championship #RoadToGlory https://t.co/yOnwDvqED6","1940232185128395063","","","in","","0","0","2","https://x.com/undefined/status/1940232185128395063","1301378474356035585",
"1940221422820872320","Wed Jul 02 01:30:09 +0000 2025","2","Kualifikasi Piala Asia: Isa Warps Akan Selebrasi ala Ole Romeny https://t.co/Kv9Kn9k0AA","1940221422820872320","","","in","","0","0","0","https://x.com/undefined/status/1940221422820872320","154102750",
"1940158161081790702","Tue Jul 01 21:18:46 +0000 2025","2","5 Pemain Indonesia Dinominasikan untuk AFC Dream XI! Maarten Paes (2/Kiper) Jay Idze (25/Pertahanan) Sandy Walsh (30/Pembela) Marselino Ferdinan (20/Gelandang) ️ Ole Romeny (25/Maju #TimnasIndonesia #jayidzes #marselino #oleromeny #footballiaddict1 #coin303 https://t.co/Wg8iZIzGzw","1940158161081790702","https://pbs.twimg.com/media/GuzTi7XWgAAP7mA.jpg","","in","","0","0","0","https://x.com/undefined/status/1940158161081790702","2250511266",
"1940033626777035191","Tue Jul 01 13:03:55 +0000 2025","1","emang obat gue klo bete liat Ole Romeny edit di tiktok njir hati gue auto mekar lg","1940033626777035191","","","in","","0","0","0","https://x.com/undefined/status/1940033626777035191","1418174453331107842",
"1940031181250339087","Tue Jul 01 12:54:12 +0000 2025","129","41 Nama masuk ke dalam nominasi Dream XI AFC Kualifikasi Piala Dunia 2026. Ada 5 pemain 🇮🇩 Indonesia yang masuk ke dalam nominasi tersebut Maarten Paes (Goalkeeper) Jay Idzes (Defender) Sandy Walsh (Defender) Marselino Ferdinan (Midfielder) Ole Romeny (Forward) https://t.co/zcXC5v8Yqb","1940031181250339087","https://pbs.twimg.com/media/GuxgE-bXQAAp1_2.jpg","","in","","1","8","20","https://x.com/undefined/status/1940031181250339087","1170153265444442113",
"1939916256221831618","Tue Jul 01 05:17:32 +0000 2025","13","Lima pemain Timnas Garuda masuk dalam nominasi Dream XI Kualifikasi Piala Dunia 2026 Zona Asia pilihan AFC. Kesuksesan tim Merah Putih melakukan hingga putaran 4 menjadi bukti kemampuan para punggawa timnas. Maarten Paes Sandy Walsh Jay Idzes Marselino dan Ole Romeny https://t.co/LpGffpDeXl","1939916256221831618","https://pbs.twimg.com/media/Guv3isnXAAALst9.jpg","","in","","0","1","2","https://x.com/undefined/status/1939916256221831618","141161798",
"1939915008122740902","Tue Jul 01 05:12:34 +0000 2025","0","Ya masa ga bisa menangin Ole Romeny wkwkwk","1939915008122740902","","","in","","0","0","0","https://x.com/undefined/status/1939915008122740902","1493086980",
"1939905553989607930","Tue Jul 01 04:35:00 +0000 2025","1","Dalam wawancara seusai laga Isa Warps mengakui bahwa dirinya memang sempat kehilangan arah setelah berhasil mencetak gol. Meski begitu Isa sudah menyiapkan selebrasi khas untuk pertandingan berikutnya https://t.co/bWGkkdUhgG","1939905553989607930","","","in","","0","0","0","https://x.com/undefined/status/1939905553989607930","78239324",
"1939905553658257427","Tue Jul 01 04:35:00 +0000 2025","0","Dalam wawancara seusai laga Isa Warps mengakui bahwa dirinya memang sempat kehilangan arah setelah berhasil mencetak gol. Meski begitu Isa sudah menyiapkan selebrasi khas untuk pertandingan berikutnya https://t.co/DKcxoqW55x","1939905553658257427","","","in","","0","0","0","https://x.com/undefined/status/1939905553658257427","626306017",
"1939893914284232869","Tue Jul 01 03:48:45 +0000 2025","3","Cetak gol buat Timnas Isa Warps malah selebrasi lari kencang dengan gaya Velocity! Katanya besok mau coba gaya Ole Romeny #DSI #TimnasIndonesia #PSSI #FIFA #Timnas #KualifikasiPialaDunia #PialaDunia #GarudaMendunia #Indonesia #Naturalisasi #AFF #IsaWarps https://t.co/PcVjyaDGqb","1939893914284232869","https://pbs.twimg.com/media/GuvjI8tW0AAuP9Y.jpg","","in","","0","1","1","https://x.com/undefined/status/1939893914284232869","768929554324942848",
"1939740733180977519","Mon Jun 30 17:40:04 +0000 2025","0","808NEWS SPORTS- Isa Warps ingin melakukan selebrasi ala Ole Romeny jika cetak gol lagi untuk Timnas Putri Indonesia di pertandingan selanjutnya lawan Pakistan. #Olahraga #BeritaNasional #BreakingNews https://t.co/p1nWD66nT4","1939740733180977519","https://pbs.twimg.com/media/GutX545boAQp9pN.jpg","","in","","0","0","0","https://x.com/undefined/status/1939740733180977519","1865467510226890752",
"1939738356755431762","Mon Jun 30 17:30:37 +0000 2025","2","Isa Warps Siap Jadi Ole Romeny Saat Timnas Putri Indonesia vs Pakistan https://t.co/1xIMqt5yz6","1939738356755431762","","","in","","0","1","1","https://x.com/undefined/status/1939738356755431762","17128975",
"1939732090305814788","Mon Jun 30 17:05:43 +0000 2025","0","Mimpi dapet panggilan timnas sekamar ole romeny ngobrol kalo dia janji 1 goal kalo def gua bener wkwkwkw random anjg","1939732090305814788","","","in","","0","0","0","https://x.com/undefined/status/1939732090305814788","524091382",
"1939689297168519361","Mon Jun 30 14:15:40 +0000 2025","0","https://t.co/ILCmprgth8 Isa Warps Ingin Ikuti Jejak Ole Romeny https://t.co/ZW4I1S16Xn","1939689297168519361","https://pbs.twimg.com/media/GuspIwra0AA89bl.jpg","","in","","0","0","0","https://x.com/undefined/status/1939689297168519361","3188392104",
"1939615077340197060","Mon Jun 30 09:20:45 +0000 2025","2","FC 25 Tranmere Rovers Road to Glory | Tranmere Rovers Menuju Premier League #44 Tranmere Rovers di Championship: Musim baru kiper baru kemenangan baru! Ole Romeny cetak sejarah! #FC25 #TranmereRovers #Championship #RoadToGlory https://t.co/vidpdEyL5P","1939615077340197060","","","in","","0","0","2","https://x.com/undefined/status/1939615077340197060","1301378474356035585",
"1939560702316007761","Mon Jun 30 05:44:41 +0000 2025","0","Ole Romeny Gabung Real Madrid Pemain Indonesia Pertama Berlaga di Panggung Eropa? https://t.co/mWFKIjwEFN Senin | #TimnasDay | Timnas Indonesia | #RiyadhSeasonCard","1939560702316007761","","","in","","0","0","0","https://x.com/undefined/status/1939560702316007761","1912027937676853249",
"1939491275352465917","Mon Jun 30 01:08:48 +0000 2025","1","Debut Isa Warps di Timnas Putri Indonesia langsung cetak gol. Dia melakukan selebrasi ala Ole Romeny‍️#TimnasDay https://t.co/9fH3JIXKuv","1939491275352465917","https://pbs.twimg.com/amplify_video_thumb/1939366014669533184/img/1PfD0OR2RqFyJ5Xs.jpg","","in","","1","2","0","https://x.com/undefined/status/1939491275352465917","786549338818224128",
"1939312877405638855","Sun Jun 29 13:27:35 +0000 2025","0","@IDGoonerscom @BILD Sekalian dikaitin sama ole romeny gak sih?","1939314807926321554","","IDGoonerscom","in","","0","0","0","https://x.com/undefined/status/1939314807926321554","1510177545714495490",
"1939297627306410271","Sun Jun 29 12:19:19 +0000 2025","0","mantap joshua saudara ole romeny ","1939297627306410271","","","in","","0","0","0","https://x.com/undefined/status/1939297627306410271","1693119693824126977",
"1939261867303854200","Sun Jun 29 09:57:13 +0000 2025","32","Abis dari theater mampir ke acaranya komiharu sambil menyuruh tiru pose Ole Romeny https://t.co/pVfE23GKv7","1939261867303854200","https://pbs.twimg.com/media/GumkYpjaQAAYpuT.jpg","","in","","1","1","5","https://x.com/undefined/status/1939261867303854200","529172135",
"1939165410152382774","Sun Jun 29 03:33:56 +0000 2025","1"," ragnar oratmangoen ole romeny striker timnas maba UB ","1939165410152382774","","","in","","0","1","0","https://x.com/undefined/status/1939165410152382774","1515633236067905538",
"1939153651945349367","Sun Jun 29 02:47:13 +0000 2025","0","anying random pisan. biasanya gue mimpi tuh member skz gitu ya lah ini gue mimpi si ole romeny jir ngakak","1939153651945349367","","","in","","0","1","0","https://x.com/undefined/status/1939153651945349367","907201608731156480",
"1938983299055263994","Sat Jun 28 15:30:17 +0000 2025","0","@unmagnetism un ini si ole romeny sejak kapan pindah caborr","1938983299055263994","","unmagnetism","in","","0","0","0","https://x.com/undefined/status/1938983299055263994","1619889329312247808",
"1938981921746526239","Sat Jun 28 15:24:49 +0000 2025","0","@unmagnetism un sekarang ole romeny pindah cabor yaa","1938981921746526239","","unmagnetism","in","","0","0","0","https://x.com/undefined/status/1938981921746526239","1619889329312247808",
"1901022609661456624","Sat Jun 28 15:24:01 +0000 2025","0","@LambeResing baru aja nambah kamus pas Q2 eh nambah lagi ajg Produser Film lah Ole Romeny lah Maba UB lah sampe ke kesayangannya @FormulaGledek https://t.co/63IdcnXWq3","1938981721170682319","","schecolipp","in","","0","0","0","https://x.com/undefined/status/1938981721170682319","1683035099837915137",
"1938980707466142059","Sat Jun 28 15:19:59 +0000 2025","540","Top 10 Qualy di kandang banteng Ragnar Oratmangoen Ikmal Pradana Bakpia Kukus Produser film Kesayangan Formula Gledek Ole Romeny Striker Timnas Alat kuproy Maba UB Gas Melon Jangan cari yang tidak ada #AustrianGP #F1","1938980707466142059","","","in","","61","33","59","https://x.com/undefined/status/1938980707466142059","1268958732794261505",
"1938975466951774586","Sat Jun 28 14:59:10 +0000 2025","0","Dua pemain berkebangsaan Indonesia Marselino Ferdinan dan Ole Romeny sudah gabung lagi dengan Oxford United. Mereka sudah berlatih juga kok. Kalau kata Marselino: Senang bisa kembali dan gak sabar main di Piala Presiden 2025. #kawanbolaid https://t.co/KU85SlAuCr","1938975466951774586","https://pbs.twimg.com/amplify_video_thumb/1938975429983096832/img/-kxrMLmLmGltnhm5.jpg","","in","","0","0","0","https://x.com/undefined/status/1938975466951774586","1912700630180982785",
"1938960077404414115","Sat Jun 28 13:58:01 +0000 2025","0"," BREAKING : Ole Romeny (24/ST) 🇮🇩 dan Marselino Ferdinand (19/AM) 🇮🇩 telah melakukan latihan perdananya Beberapa hari menuju piala Presiden Oxford United tetap serius menatap turnamen piala Presiden di Indonesia pada 6-12 Juli 2025 mendatang https://t.co/ybzM4NolbJ","1938960077404414115","https://pbs.twimg.com/media/GuiR6atXAAE0T72.jpg","","in","","0","0","0","https://x.com/undefined/status/1938960077404414115","1830731383310032896",
"1938921643109134390","Sat Jun 28 11:25:17 +0000 2025","1","Kalo liat ole romeny langsung nyletuk dengan nada lagu leserafim yg liriknya ole ole ole ole tp gatau lagu judulnya apa lupa https://t.co/oygnTqTvLE","1938921643109134390","https://pbs.twimg.com/media/Guhu9ZkWMAAnFV_.jpg","","in","","0","1","0","https://x.com/undefined/status/1938921643109134390","1371650588",
"1938907694695620612","Sat Jun 28 10:29:52 +0000 2025","0","Semua ini gara gara ole romeny","1938907694695620612","","","in","","0","0","0","https://x.com/undefined/status/1938907694695620612","1425739401590542336",
"1938907688693543384","Sat Jun 28 10:29:50 +0000 2025","0","5 Pemain Timnas Indonesia Masuk Nominasi 'Dream XI' AFC: Maartin Paes Jay Idzes Sandy Walsh Marcelino dan Ole Romeny https://t.co/SIjS6tQgEC","1938907688693543384","","","in","","0","0","0","https://x.com/undefined/status/1938907688693543384","1912027937676853249",
"1938776146121769252","Sat Jun 28 02:17:03 +0000 2025","1","@txtFromRoblox Ayo berteman dengan ole romeny https://t.co/NWd3O19AQD","1938783676269240486","https://pbs.twimg.com/media/GufxegVXUAAzHCK.jpg","txtFromRoblox","in","","0","0","1","https://x.com/undefined/status/1938783676269240486","1371250494929211394",
"1938770247944937965","Sat Jun 28 01:23:42 +0000 2025","1","5 Pemain Timnas Indonesia Masuk Nominasi Dream XI Kualifikasi Piala Dunia 2026 Zona Asia Nomor 1 Ole Romeny! https://t.co/TAlHoq7i8C","1938770247944937965","","","in","","0","0","0","https://x.com/undefined/status/1938770247944937965","47274731",
"1938443419489349857","Fri Jun 27 21:13:25 +0000 2025","2","@OpaToivonen @stairwayto3dom RB Salzburg PSG de Premier League Gianni Infantino en Ole Romeny.","1938707260663832712","","OpaToivonen","in","","0","1","0","https://x.com/undefined/status/1938707260663832712","1148525604515586049",
"1938597146011611238","Fri Jun 27 14:24:04 +0000 2025","1","@febriansujatm @pievyraa aku tak minta ole romeny","1938604246599151806","","febriansujatm","in","","0","0","0","https://x.com/undefined/status/1938604246599151806","1313032481134710784",
"1938598184257032521","Fri Jun 27 14:17:26 +0000 2025","0","@M_MikaelaJKT48 @SNayla_JKT48 Cimol: Cintaku Melebihi Ole romeny","1938602575642956273","","M_MikaelaJKT48","in","","0","0","0","https://x.com/undefined/status/1938602575642956273","1712986164280668160",
"1938578133692932183","Fri Jun 27 12:40:18 +0000 2025","0","jangan banyak bacot lu ga diajak. tim lu musim depan satu divisi sama ole romeny ","1938578133692932183","","","in","","0","0","0","https://x.com/undefined/status/1938578133692932183","252035582",
"1938135122429255801","Fri Jun 27 08:28:15 +0000 2025","0","@AirinDatangLagi Layak masuk radar STY gantikan Ole Romeny","1938514700020707332","","AirinDatangLagi","in","","0","0","0","https://x.com/undefined/status/1938514700020707332","3318038070",
"1938009013771518119","Thu Jun 26 22:54:58 +0000 2025","0","@K7_m0en @UmarHasibuan__ Saya lebih pilih jay idzes Apa ole romeny","1938370428818624774","","K7_m0en","in","","0","0","0","https://x.com/undefined/status/1938370428818624774","1711944920049864704",
"1938253633411551566","Thu Jun 26 20:09:24 +0000 2025","0","@LFC_Hardline Ole romeny aja ambil mumet memantau strikr saga ini","1938328763982614597","","LFC_Hardline","in","","0","0","0","https://x.com/undefined/status/1938328763982614597","1494072049010372610",
"1938323655840432485","Thu Jun 26 19:49:06 +0000 2025","0","Ole romeny dkk :","1938323655840432485","","","in","","0","0","0","https://x.com/undefined/status/1938323655840432485","1464930473151401988",
"1938224691283710182","Thu Jun 26 13:15:51 +0000 2025","2","FC 25 Tranmere Rovers Road to Glory | Ole Romeny Siap Balas Kekalahan dari Watford di League One #40 Perjalanan Tranmere Rovers di FC 25 berlanjut! ️ Akankah Ole Romeny membalas kekalahan dari Watford? #FC25 #TranmereRovers #RoadtoGlory https://t.co/fMuuJwANga","1938224691283710182","","","in","","0","0","2","https://x.com/undefined/status/1938224691283710182","1301378474356035585",
"1938187696016654838","Thu Jun 26 12:11:04 +0000 2025","0","@satriohendri @YouTube Harusnya Samsul di bawa ke Timnas biar dia acak² tuh FiFA dan Lawan² Timnas Indonesia sehingga Timnas gk butuh tambahan pemain naturalisasi lagi pak @erickthohir . Klo di duetkan dgn Ole Romeny di lini depan semua lawan tumbang semua ","1938208387390705912","","satriohendri","in","","0","1","0","https://x.com/undefined/status/1938208387390705912","1212204099212439553",
"1937806255130837446","Wed Jun 25 09:33:08 +0000 2025","1","Oxford United Siap Terbang ke Indonesia untuk Tampil di Piala Presiden 2025 Bawa Marselino Ferdinan dan Ole Romeny https://t.co/wINafRA9bP","1937806255130837446","","","in","","0","0","1","https://x.com/undefined/status/1937806255130837446","1918398972751953923",
"1937388744996491654","Tue Jun 24 05:54:06 +0000 2025","0","OLE ROMENY SOAL KONFLIK TIMUR TENGAH! #IRAN #QATAR #ARABSAUDI #sepakbola https://t.co/FGuSZX2AzF","1937388744996491654","https://pbs.twimg.com/amplify_video_thumb/1937388234394468354/img/KFm45-Hem54Tnhcu.jpg","","in","","0","0","0","https://x.com/undefined/status/1937388744996491654","1896585657910538240",
"1937334776979206507","Tue Jun 24 02:21:37 +0000 2025","0","@Indra1610687382 Selain Ole Romeny striker keturunan Indonesia yang bermain di Eropa pada 2025 kemungkinan termasuk Jens Raven yang bermain untuk Dordrecht U-21 di Belanda. Ragnar Oratmangoen juga disebut sebagai striker timnas Indonesia tetapi status klubnya di Eropa belum jelas. Data","1937335271235944504","","Indra1610687382","in","","0","0","0","https://x.com/undefined/status/1937335271235944504","1720665183188922368",
"1937289743332454858","Mon Jun 23 23:20:42 +0000 2025","0","️ Dominasi Gol Ole Romeny di Timnas: Andalan atau Alarm Bahaya? Coba perhatikan statistik gol Timnas Indonesia di tahun ini semuanya dicetak oleh Ole Romeny. Tanpa dirinya Garuda bisa saja nirgol sepanjang 2024/2025. ️ Rinciannya: Australia 5-1 Indonesia (Gol: Ole) https://t.co/sZlINs0ZZ7","1937289743332454858","https://pbs.twimg.com/media/GuKiveiXQAAGdJN.jpg","","in","","0","1","0","https://x.com/undefined/status/1937289743332454858","1875075827303354368",
"1937269369610055707","Mon Jun 23 21:59:45 +0000 2025","0","Sumpah mimpiin ole romeny maen bola terus rambut dia kribo","1937269369610055707","","","in","","0","0","0","https://x.com/undefined/status/1937269369610055707","1856604239319183362",
"1937085254763954447","Mon Jun 23 11:11:45 +0000 2025","0","Kenan Yildiz (@Kenan5TWS) to Ole Romeny @Ole0TWS","1937106295036981411","","TheWorIdSeries","in","","0","1","0","https://x.com/undefined/status/1937106295036981411","4866223503",
"1937058655012274502","Mon Jun 23 08:02:26 +0000 2025","5","🇮🇩Debut Ole Romeny pada Kamis 20/3/2025.Bertandang ke Australia dalam lanjutan kualifikasi Piala Dunia 2026 Tumbang 5-1 Satu-satunya gol milik Ole Romeny. Ivar Jenner mencatat debutnya bersama Timnas saat bermain imbang 0-0 melawan Palestina pada FIFA Matchday Rabu 14/06/2023. https://t.co/CALeCUz5J3","1937058655012274502","https://pbs.twimg.com/media/GuHQlL-WgAAqfwO.jpg","","in","","0","1","1","https://x.com/undefined/status/1937058655012274502","1809908176307040256",
"1936978013486551421","Mon Jun 23 02:42:00 +0000 2025","0","Oxford United harus meng-upgrade skuad jika tak ingin lagi berkutat di papan bawah Divisi Championship. Klub berjuluk The U's finis di peringkat 17 Divisi Championship 2024/25 hanya empat poin di atas zona degradasi https://t.co/JEL5abVKsT","1936978013486551421","","","in","","0","0","0","https://x.com/undefined/status/1936978013486551421","626306017",
"1936978013197128022","Mon Jun 23 02:42:00 +0000 2025","0","Oxford United harus meng-upgrade skuad jika tak ingin lagi berkutat di papan bawah Divisi Championship. Klub berjuluk The U's finis di peringkat 17 Divisi Championship 2024/25 hanya empat poin di atas zona degradasi https://t.co/UU0zFZFfGy","1936978013197128022","","","in","","0","0","0","https://x.com/undefined/status/1936978013197128022","78239324",
"1936788089172811902","Sun Jun 22 14:07:18 +0000 2025","1","kmren mimpi pacaran sama ole romeny indah bgt wkwkkw mimpiin lagi dongg supaya setidaknya bahagia di alam mimpi wkwkwk","1936788089172811902","","","in","","0","0","0","https://x.com/undefined/status/1936788089172811902","2334313146",
"1936784146288025900","Sun Jun 22 13:51:38 +0000 2025","1","inimah windah batubara jir bukan ole romeny https://t.co/clt7dtqcjx","1936784146288025900","https://pbs.twimg.com/media/GuDW6rhaMAAWtoE.jpg","","in","","0","0","0","https://x.com/undefined/status/1936784146288025900","1543453603100123136",
"1936744861132288432","Sun Jun 22 11:25:37 +0000 2025","0","@unmagnetism Ole romeny lewat","1936747397633478992","","unmagnetism","in","","0","0","0","https://x.com/undefined/status/1936747397633478992","851929117",
"1936731292055511457","Sun Jun 22 11:05:16 +0000 2025","0","@ultramenoo @TimnasIndonesia Striker cocok jadi pelapisnya ole romeny","1936742275234886083","","ultramenoo","in","","0","0","0","https://x.com/undefined/status/1936742275234886083","1816823270207094784",
"1936665100024492498","Sun Jun 22 10:51:02 +0000 2025","1","@barcastuff_idn @ffpolo mending suruh patrick kluivert ngomong ke deco tawarin ole romeny buat gantiin lewy","1936738696021323878","","barcastuff_idn","in","","0","1","0","https://x.com/undefined/status/1936738696021323878","1560193720951009281",
"1936731363451044256","Sun Jun 22 10:21:54 +0000 2025","1","Sedikit lagi naturalisasi terus ketemu Ole Romeny ya kamu","1936731363451044256","","","in","","0","0","0","https://x.com/undefined/status/1936731363451044256","1733152432937635840",
