"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1939316213219479584","Mon Jun 30 12:35:57 +0000 2025","0","@Minnie_imut @KRMTRoySuryo2 @DokterTifa @SianiparRismon ... Dulu Tommy Bambang Prabowo dan semua anak pak Harto digeledah diperkarakan ex pak Harto lengser... Kenapa Geng Solo enggak berani? Bongkar!!! - Iwan Fals tribute","1939664201217421666","","Minnie_imut","in","","0","0","0","https://x.com/undefined/status/1939664201217421666","2249528850",
"1939578443773149279","Mon Jun 30 12:35:40 +0000 2025","0","@Ghurem2 Ini yg katanya @prabowo presiden akan memerangi para koruptor ?? Waktu kampanya macan mengaum giliran sudah jadi presiden lowbet","1939664129071145296","","Ghurem2","in","","0","0","0","https://x.com/undefined/status/1939664129071145296","1123193227723411456",
"1939554519039574232","Mon Jun 30 12:35:32 +0000 2025","0","@iram_danny2 Presiden Prabowo Berantas Korupsi dengan kebijakan tegas Kementerian PU ga luput dari evaluasi total","1939664095013453875","","iram_danny2","in","","0","0","0","https://x.com/undefined/status/1939664095013453875","1843842567391326211",
"1939564204538876211","Mon Jun 30 12:35:29 +0000 2025","0","@irma_zaepus Inovasi pendanaan infrastruktur dari Prabowo bikin negara nggak kehabisan napas pembangunan pun tetap jalan","1939664083495899607","","irma_zaepus","in","","0","0","0","https://x.com/undefined/status/1939664083495899607","1832322567375613953",
"1939387947570340267","Mon Jun 30 12:34:50 +0000 2025","0","@pdredator Prabowo bersama Mahfud MD nggak ragu buat lawan segala bentuk pelanggaran hukum","1939663918613532689","","pdredator","in","","0","0","0","https://x.com/undefined/status/1939663918613532689","1844259661337460741",
"1939661836519088550","Mon Jun 30 12:34:37 +0000 2025","0","@princessxchio assalamualaikum ganteng @prabowo","1939663867623428235","","princessxchio","in","","0","0","0","https://x.com/undefined/status/1939663867623428235","1402242866815008773",
"1939663817438564799","Mon Jun 30 12:34:25 +0000 2025","0","Pak @prabowo Keren ... https://t.co/o8jq0ZisXv","1939663817438564799","https://pbs.twimg.com/ext_tw_video_thumb/1939663761855713280/pu/img/4ySO3pmyAUnLPC6J.jpg","","in","","0","0","0","https://x.com/undefined/status/1939663817438564799","1886585978447650816",
"1939177152848765219","Mon Jun 30 12:33:47 +0000 2025","0","@DewiPutriku06 @jokowi @prabowo @gibran_tweet Makany","1939663655819432096","","DewiPutriku06","in","","0","0","0","https://x.com/undefined/status/1939663655819432096","1227499861580251136",
"1939663185176605065","Mon Jun 30 12:33:41 +0000 2025","1","@MusdiantoA3826 @prabowo langsung pateni ","1939663630821359867","","MusdiantoA3826","in","","0","1","0","https://x.com/undefined/status/1939663630821359867","1231219486117654529",
"1939634900132618249","Mon Jun 30 12:33:39 +0000 2025","0","@luthfimuh0798 @ardi_tama1 Prabowo di 2014 gandeng Mahfud (pakar hukum) kalah trus di 2019 gandeng Djoko Santoso (militer) kalah trus di 2024 gandeng Rosan (pebisnis) barulah hokinya disitu","1939663623829504455","","luthfimuh0798","in","","0","0","0","https://x.com/undefined/status/1939663623829504455","2862109627",
"1939177152848765219","Mon Jun 30 12:33:31 +0000 2025","0","@Wid_oes1240 @jokowi @prabowo @gibran_tweet @ListyoSigitP harus menindak anak buahnya!!!","1939663587326513277","","Wid_oes1240","in","","0","0","0","https://x.com/undefined/status/1939663587326513277","1227499861580251136",
