"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1753465227406925958","Fri Feb 02 23:58:04 +0000 2024","156","@pandji @prabowo @jokowi Presiden kirain netral ternyata condong juga","1753568498264215627","","pandji","in","","2","9","3","https://x.com/undefined/status/1753568498264215627","363546852",
"1753312103359037884","Fri Feb 02 23:58:03 +0000 2024","0","@AdamVelcro Kok plinplan ya ini Presiden Siapa sih??!pingin tahu besok mau ini ajalah #AMINAjaDulu #AMINPilihanRakyat #AMINfor2024 ","1753568496150323249","","AdamVelcro","in","","0","0","0","https://x.com/undefined/status/1753568496150323249","1712591359163707392",
"1753285708079599939","Fri Feb 02 23:57:52 +0000 2024","0","@okezonenews Gak diragukan lagi gama yg pantas untuk menjadi presiden","1753568449773940871","","okezonenews","in","","0","7","0","https://x.com/undefined/status/1753568449773940871","1728342604264480768",
"1753568351794946070","Fri Feb 02 23:57:29 +0000 2024","0","Kondisi ekonomi kita sangat baik. Inflasi terkendali... tapi bagi2 bansos gila2an oleh presiden dan menteri2 terkait koalisi paslon 02 di masa kampanye pilpres pula!","1753568351794946070","","","in","","1","1","0","https://x.com/undefined/status/1753568351794946070","631705596",
"1753352983302324355","Fri Feb 02 23:57:28 +0000 2024","0","@BSbukit Menukar harga diri dengan sembako yg tak seberapa? Fix ini presiden sudah kelewatan... Membanggakan kegagalannya memimpin negeri","1753568346971525206","","BSbukit","in","","0","0","0","https://x.com/undefined/status/1753568346971525206","1467666811868962818",
"1753568336615735669","Fri Feb 02 23:57:25 +0000 2024","3","Dalam acara semalam ini pak @prabowo juga bilang: Saya juga akan mengayomi dan menjadi presiden bagi yang tidak memilih saya ","1753568336615735669","","","in","","0","0","2","https://x.com/undefined/status/1753568336615735669","1717067783165620224",
"1753568322380251487","Fri Feb 02 23:57:22 +0000 2024","25"," RESMI: Vinicius Junior secara resmi menggantikan mendiang Pele sebagai Duta Besar Kehormatan UNESCO Sang pemain diberitahu tentang hal ini di Valdebebas hari ini di hadapan Presiden Florentino Pérez. https://t.co/PwOvtBqloa","1753568322380251487","https://pbs.twimg.com/media/GFXtGJZaAAACKKm.jpg","","in","","0","1","1","https://x.com/undefined/status/1753568322380251487","1356426300",
"1753568268982669816","Fri Feb 02 23:57:09 +0000 2024","0","Presiden belum percaya dengan AHY untuk dijadikan Mentri https://t.co/1TPx6498cF","1753568268982669816","","","in","","0","0","0","https://x.com/undefined/status/1753568268982669816","502360359",
"1753568264306004451","Fri Feb 02 23:57:08 +0000 2024","1","klo bp. anies jdi presiden perasaan saya bukan feeling lagi tpi indigo beneran.","1753568264306004451","","","in","","0","1","0","https://x.com/undefined/status/1753568264306004451","1259356415954542592",
"1753559653899030721","Fri Feb 02 23:56:50 +0000 2024","0","@OposisiCerdas Presiden saja sudah sangat layak dipidana tapi cuma bohong. ","1753568188196143205","","OposisiCerdas","in","","0","0","0","https://x.com/undefined/status/1753568188196143205","1736919175074037760",
